Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,700.0,750.0,680.0,700.0,700.0,1355600
2025-03-04,700.0,765.0,690.0,730.0,730.0,151000
2025-03-05,725.0,725.0,710.0,715.0,715.0,91600
2025-03-06,715.0,750.0,715.0,735.0,735.0,129000
2025-03-07,745.0,750.0,735.0,740.0,740.0,252100
2025-03-10,750.0,785.0,740.0,760.0,760.0,1313700
2025-03-11,765.0,770.0,740.0,755.0,755.0,266100
2025-03-12,755.0,760.0,730.0,750.0,750.0,225000
2025-03-13,750.0,770.0,750.0,750.0,750.0,724300
2025-03-14,755.0,780.0,755.0,780.0,780.0,1654700
2025-03-17,780.0,850.0,775.0,825.0,825.0,1323500
2025-03-18,835.0,845.0,750.0,840.0,840.0,2363800
2025-03-19,840.0,850.0,840.0,850.0,850.0,1331200
2025-03-20,855.0,875.0,845.0,850.0,850.0,790800
2025-03-21,860.0,870.0,845.0,850.0,850.0,921000
2025-03-24,855.0,860.0,830.0,850.0,850.0,1192400
2025-03-25,850.0,850.0,830.0,830.0,830.0,179200
2025-03-26,850.0,850.0,795.0,840.0,840.0,790200
2025-03-27,840.0,845.0,800.0,845.0,845.0,208600
2025-04-08,800.0,835.0,750.0,790.0,790.0,496100
2025-04-09,780.0,800.0,730.0,785.0,785.0,708700
2025-04-10,790.0,860.0,780.0,800.0,800.0,411700
2025-04-11,775.0,800.0,740.0,740.0,740.0,551300
2025-04-14,790.0,790.0,735.0,750.0,750.0,543700
2025-04-15,770.0,815.0,750.0,750.0,750.0,588100
2025-04-16,760.0,800.0,745.0,750.0,750.0,367700
2025-04-17,755.0,775.0,755.0,755.0,755.0,274300
2025-04-21,740.0,775.0,735.0,745.0,745.0,24000
2025-04-22,770.0,770.0,740.0,750.0,750.0,98100
2025-04-23,755.0,770.0,740.0,740.0,740.0,63500
2025-04-24,740.0,750.0,740.0,750.0,750.0,125900
2025-04-25,760.0,760.0,740.0,750.0,750.0,77500
2025-04-28,750.0,765.0,730.0,755.0,755.0,121300
2025-04-29,755.0,795.0,755.0,765.0,765.0,447400
2025-04-30,765.0,775.0,745.0,745.0,745.0,167200
2025-05-02,740.0,770.0,740.0,750.0,750.0,366800
2025-05-05,750.0,765.0,745.0,750.0,750.0,130200
2025-05-06,745.0,765.0,745.0,745.0,745.0,31600
2025-05-07,760.0,765.0,740.0,760.0,760.0,107400
2025-05-08,760.0,770.0,755.0,755.0,755.0,56100
2025-05-09,755.0,770.0,745.0,750.0,750.0,122200
2025-05-14,755.0,770.0,750.0,770.0,770.0,89900
2025-05-15,770.0,770.0,750.0,760.0,760.0,22100
2025-05-16,750.0,765.0,745.0,755.0,755.0,195300
2025-05-19,750.0,755.0,745.0,755.0,755.0,170200
2025-05-20,755.0,760.0,740.0,755.0,755.0,145900
2025-05-21,755.0,760.0,740.0,750.0,750.0,57400
2025-05-22,755.0,765.0,725.0,740.0,740.0,211200
2025-05-23,730.0,745.0,725.0,740.0,740.0,171800
2025-05-26,730.0,740.0,720.0,720.0,720.0,402900
2025-05-27,720.0,720.0,695.0,705.0,705.0,503400
2025-05-28,720.0,750.0,700.0,745.0,745.0,388000
2025-06-02,720.0,740.0,715.0,720.0,720.0,172300
2025-06-03,745.0,745.0,700.0,705.0,705.0,170000
2025-06-04,705.0,730.0,695.0,715.0,715.0,276100
2025-06-05,700.0,735.0,700.0,705.0,705.0,107600
2025-06-10,705.0,740.0,705.0,730.0,730.0,140300
2025-06-11,730.0,735.0,710.0,710.0,710.0,36700
2025-06-12,715.0,730.0,705.0,725.0,725.0,139900
2025-06-13,725.0,730.0,705.0,720.0,720.0,13400
2025-06-16,730.0,735.0,700.0,715.0,715.0,561500
2025-06-17,720.0,740.0,710.0,730.0,730.0,62500
2025-06-18,730.0,730.0,705.0,720.0,720.0,261700
2025-06-19,705.0,730.0,695.0,705.0,705.0,583100
2025-06-20,700.0,715.0,690.0,700.0,700.0,116100
2025-06-23,710.0,710.0,665.0,685.0,685.0,162800
2025-06-24,685.0,705.0,685.0,700.0,700.0,34600
2025-06-25,695.0,695.0,655.0,685.0,685.0,23100
2025-06-26,685.0,710.0,660.0,690.0,690.0,63500
2025-06-30,690.0,690.0,690.0,690.0,690.0,5800
2025-07-01,670.0,675.0,645.0,675.0,675.0,146900
2025-07-02,670.0,675.0,650.0,675.0,675.0,33500
2025-07-03,670.0,670.0,605.0,640.0,640.0,157500
2025-07-04,640.0,685.0,635.0,645.0,645.0,106900
2025-07-07,645.0,675.0,640.0,645.0,645.0,159500
2025-07-08,635.0,670.0,635.0,655.0,655.0,19400
2025-07-09,655.0,655.0,640.0,650.0,650.0,5100
2025-07-10,640.0,680.0,635.0,640.0,640.0,131400
2025-07-11,640.0,660.0,620.0,630.0,630.0,58300
2025-07-14,655.0,655.0,620.0,650.0,650.0,34300
2025-07-15,650.0,650.0,595.0,600.0,600.0,358100
2025-07-16,700.0,725.0,625.0,655.0,655.0,286500
2025-07-17,655.0,655.0,610.0,635.0,635.0,137300
2025-07-18,640.0,650.0,625.0,625.0,625.0,29000
2025-07-21,625.0,650.0,615.0,640.0,640.0,36400
2025-07-22,650.0,675.0,595.0,615.0,615.0,308700
2025-07-23,630.0,645.0,625.0,625.0,625.0,116800
2025-07-24,625.0,625.0,605.0,610.0,610.0,3900
2025-07-25,615.0,630.0,615.0,615.0,615.0,12100
2025-07-28,615.0,630.0,600.0,615.0,615.0,139700
2025-07-29,615.0,620.0,610.0,610.0,610.0,8200
2025-07-30,670.0,700.0,625.0,650.0,650.0,605000
2025-07-31,650.0,655.0,595.0,630.0,630.0,91200
2025-08-01,605.0,630.0,605.0,610.0,610.0,19800
2025-08-04,615.0,630.0,605.0,605.0,605.0,111100
2025-08-05,610.0,625.0,600.0,620.0,620.0,29700
2025-08-06,620.0,620.0,600.0,620.0,620.0,118900
2025-08-07,605.0,615.0,600.0,610.0,610.0,101700
2025-08-08,610.0,610.0,595.0,605.0,605.0,140900
2025-08-11,605.0,610.0,595.0,605.0,605.0,44000
