Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-04,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-05,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-06,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-07,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-10,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-11,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-12,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-13,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-14,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-17,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-18,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-19,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-20,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-21,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-24,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-25,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-26,9.0,9.0,9.0,9.0,9.0,0.0
2025-03-27,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-08,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-09,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-10,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-11,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-14,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-15,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-16,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-17,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-21,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-22,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-23,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-24,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-25,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-28,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-29,9.0,9.0,9.0,9.0,9.0,0.0
2025-04-30,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-02,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-05,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-06,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-07,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-08,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-09,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-14,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-15,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-16,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-19,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-20,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-21,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-22,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-23,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-26,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-27,9.0,9.0,9.0,9.0,9.0,0.0
2025-05-28,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-02,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-03,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-04,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-05,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-10,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-11,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-12,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-13,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-16,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-17,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-18,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-19,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-20,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-23,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-24,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-25,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-26,9.0,9.0,9.0,9.0,9.0,0.0
2025-06-30,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-01,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-02,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-03,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-04,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-07,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-08,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-09,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-10,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-11,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-14,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-15,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-16,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-17,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-18,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-21,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-22,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-23,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-24,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-25,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-28,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-29,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-30,9.0,9.0,9.0,9.0,9.0,0.0
2025-07-31,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-01,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-04,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-05,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-06,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-07,9.0,9.0,9.0,9.0,9.0,0.0
2025-08-08,9.0,9.0,9.0,9.0,9.0,0.0
