Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,155.0,159.0,155.0,159.0,159.0,142900
2025-03-04,159.0,159.0,155.0,155.0,155.0,6100
2025-03-05,155.0,155.0,155.0,155.0,155.0,2400
2025-03-06,155.0,156.0,155.0,155.0,155.0,130300
2025-03-07,155.0,155.0,155.0,155.0,155.0,400
2025-03-10,155.0,160.0,155.0,160.0,160.0,7200
2025-03-11,160.0,160.0,155.0,160.0,160.0,25900
2025-03-12,155.0,160.0,155.0,160.0,160.0,1900
2025-03-13,158.0,159.0,155.0,159.0,159.0,22400
2025-03-14,159.0,159.0,155.0,155.0,155.0,27200
2025-03-17,155.0,155.0,155.0,155.0,155.0,91400
2025-03-18,155.0,156.0,155.0,155.0,155.0,100800
2025-03-19,155.0,155.0,155.0,155.0,155.0,145500
2025-03-20,155.0,155.0,154.0,155.0,155.0,131000
2025-03-21,155.0,155.0,155.0,155.0,155.0,233100
2025-03-24,155.0,155.0,154.0,155.0,155.0,267300
2025-03-25,155.0,155.0,154.0,155.0,155.0,162500
2025-03-26,155.0,155.0,154.0,155.0,155.0,167800
2025-03-27,155.0,155.0,154.0,155.0,155.0,170800
2025-04-08,140.0,140.0,140.0,140.0,140.0,300
2025-04-09,137.0,140.0,136.0,140.0,140.0,10200
2025-04-10,140.0,160.0,140.0,145.0,145.0,1700
2025-04-11,145.0,145.0,140.0,145.0,145.0,5900
2025-04-14,140.0,160.0,140.0,160.0,160.0,1200
2025-04-15,144.0,159.0,140.0,158.0,158.0,14900
2025-04-16,143.0,158.0,142.0,151.0,151.0,4100
2025-04-17,151.0,151.0,140.0,151.0,151.0,13600
2025-04-21,150.0,151.0,144.0,144.0,144.0,16100
2025-04-22,144.0,144.0,143.0,143.0,143.0,4900
2025-04-23,144.0,158.0,144.0,158.0,158.0,7400
2025-04-24,158.0,158.0,146.0,154.0,154.0,13800
2025-04-25,147.0,154.0,147.0,154.0,154.0,800
2025-04-28,154.0,159.0,149.0,158.0,158.0,13400
2025-04-29,158.0,158.0,151.0,151.0,151.0,37100
2025-04-30,157.0,157.0,151.0,151.0,151.0,16900
2025-05-02,151.0,151.0,151.0,151.0,151.0,300
2025-05-05,158.0,160.0,151.0,151.0,151.0,15200
2025-05-06,159.0,161.0,150.0,152.0,152.0,162600
2025-05-07,152.0,152.0,152.0,152.0,152.0,2300
2025-05-08,152.0,152.0,150.0,150.0,150.0,12200
2025-05-09,151.0,151.0,151.0,151.0,151.0,500
2025-05-14,155.0,155.0,150.0,151.0,151.0,5300
2025-05-15,151.0,159.0,151.0,159.0,159.0,11600
2025-05-16,158.0,158.0,153.0,155.0,155.0,4800
2025-05-19,153.0,158.0,151.0,158.0,158.0,40300
2025-05-20,156.0,156.0,155.0,155.0,155.0,2600
2025-05-21,151.0,157.0,151.0,152.0,152.0,2100
2025-05-22,155.0,155.0,151.0,151.0,151.0,9600
2025-05-23,152.0,153.0,151.0,151.0,151.0,1300
2025-05-26,151.0,157.0,151.0,156.0,156.0,800
2025-05-27,158.0,158.0,151.0,152.0,152.0,19100
2025-05-28,151.0,157.0,151.0,152.0,152.0,600
2025-06-02,152.0,152.0,145.0,146.0,146.0,23100
2025-06-03,145.0,150.0,145.0,149.0,149.0,13900
2025-06-04,149.0,149.0,149.0,149.0,149.0,3200
2025-06-05,149.0,149.0,148.0,148.0,148.0,700
2025-06-10,148.0,148.0,147.0,147.0,147.0,9000
2025-06-11,147.0,154.0,146.0,154.0,154.0,6600
2025-06-12,154.0,156.0,147.0,149.0,149.0,7200
2025-06-13,149.0,156.0,147.0,147.0,147.0,23200
2025-06-16,147.0,147.0,139.0,140.0,140.0,58300
2025-06-17,140.0,140.0,140.0,140.0,140.0,1100
2025-06-18,141.0,142.0,141.0,142.0,142.0,2700
2025-06-19,143.0,143.0,140.0,140.0,140.0,16900
2025-06-20,141.0,141.0,141.0,141.0,141.0,300
2025-06-23,141.0,141.0,140.0,140.0,140.0,9100
2025-06-24,140.0,154.0,140.0,140.0,140.0,28300
2025-06-25,154.0,154.0,140.0,143.0,143.0,27900
2025-06-26,143.0,146.0,140.0,140.0,140.0,5200
2025-06-30,145.0,145.0,145.0,145.0,145.0,700
2025-07-01,145.0,155.0,140.0,141.0,141.0,5500
2025-07-02,156.0,156.0,138.0,138.0,138.0,136600
2025-07-03,140.0,154.0,140.0,141.0,141.0,25400
2025-07-04,140.0,163.0,138.0,144.0,144.0,715300
2025-07-07,144.0,144.0,140.0,140.0,140.0,27700
2025-07-08,143.0,143.0,140.0,140.0,140.0,200
2025-07-09,140.0,144.0,140.0,140.0,140.0,27900
2025-07-10,140.0,166.0,140.0,141.0,141.0,1530000
2025-07-11,142.0,151.0,142.0,142.0,142.0,17300
2025-07-14,142.0,144.0,141.0,141.0,141.0,88500
2025-07-15,142.0,142.0,140.0,140.0,140.0,72000
2025-07-16,146.0,163.0,142.0,143.0,143.0,1237400
2025-07-17,147.0,147.0,139.0,140.0,140.0,880900
2025-07-18,140.0,144.0,140.0,141.0,141.0,18600
2025-07-21,141.0,141.0,139.0,140.0,140.0,78600
2025-07-22,140.0,140.0,139.0,140.0,140.0,76500
2025-07-23,140.0,146.0,138.0,140.0,140.0,270800
2025-07-24,140.0,142.0,138.0,142.0,142.0,74900
2025-07-25,140.0,140.0,140.0,140.0,140.0,20200
2025-07-28,140.0,141.0,140.0,141.0,141.0,41400
2025-07-29,141.0,142.0,140.0,141.0,141.0,140500
2025-07-30,142.0,147.0,140.0,141.0,141.0,19700
2025-07-31,141.0,144.0,140.0,140.0,140.0,30700
2025-08-01,144.0,144.0,140.0,140.0,140.0,200
2025-08-04,143.0,143.0,143.0,143.0,143.0,14200
2025-08-05,143.0,144.0,140.0,140.0,140.0,41300
2025-08-06,140.0,144.0,140.0,140.0,140.0,54500
2025-08-07,142.0,158.0,139.0,140.0,140.0,728800
2025-08-08,148.0,148.0,139.0,140.0,140.0,88100
2025-08-11,144.0,155.0,140.0,146.0,146.0,613700
