Datetime,Open,High,Low,Close,Adj Close,Volume
2025-04-14 07:00:00+07:00,252.0,252.0,252.0,252.0,252.0,23462800
2025-04-15 07:00:00+07:00,314.0,314.0,314.0,314.0,314.0,20217700
2025-04-16 07:00:00+07:00,392.0,392.0,372.0,392.0,392.0,322596100
2025-04-17 07:00:00+07:00,394.0,456.0,392.0,410.0,410.0,712259300
2025-04-21 07:00:00+07:00,500.0,500.0,364.0,370.0,370.0,329043500
2025-04-22 07:00:00+07:00,366.0,374.0,336.0,354.0,354.0,177324000
2025-04-23 07:00:00+07:00,362.0,386.0,354.0,368.0,368.0,110019100
2025-04-24 07:00:00+07:00,368.0,388.0,364.0,374.0,374.0,110884700
2025-04-25 07:00:00+07:00,376.0,388.0,370.0,372.0,372.0,46005900
2025-04-28 07:00:00+07:00,372.0,378.0,360.0,366.0,366.0,35912100
2025-04-29 07:00:00+07:00,366.0,370.0,356.0,358.0,358.0,46856900
2025-04-30 07:00:00+07:00,362.0,376.0,352.0,360.0,360.0,45524100
2025-05-02 07:00:00+07:00,362.0,366.0,356.0,356.0,356.0,11470200
2025-05-05 07:00:00+07:00,356.0,358.0,352.0,356.0,356.0,9721400
2025-05-06 07:00:00+07:00,356.0,384.0,354.0,368.0,368.0,75963900
2025-05-07 07:00:00+07:00,372.0,376.0,360.0,368.0,368.0,38773900
2025-05-08 07:00:00+07:00,368.0,370.0,362.0,362.0,362.0,10777000
2025-05-09 07:00:00+07:00,364.0,368.0,360.0,360.0,360.0,8176700
2025-05-14 07:00:00+07:00,360.0,366.0,356.0,358.0,358.0,10186800
2025-05-15 07:00:00+07:00,360.0,376.0,358.0,368.0,368.0,29212500
2025-05-16 07:00:00+07:00,376.0,386.0,370.0,378.0,378.0,58298100
2025-05-19 07:00:00+07:00,382.0,388.0,378.0,384.0,384.0,31432800
2025-05-20 07:00:00+07:00,388.0,392.0,382.0,386.0,386.0,19584800
2025-05-21 07:00:00+07:00,388.0,388.0,362.0,374.0,374.0,27417200
2025-05-22 07:00:00+07:00,376.0,380.0,374.0,376.0,376.0,9536200
2025-05-23 07:00:00+07:00,380.0,384.0,376.0,380.0,380.0,5181800
2025-05-26 07:00:00+07:00,382.0,420.0,380.0,414.0,414.0,60468200
2025-05-27 07:00:00+07:00,424.0,436.0,400.0,414.0,414.0,82165200
2025-05-28 07:00:00+07:00,420.0,420.0,410.0,414.0,414.0,11693300
2025-06-02 07:00:00+07:00,414.0,416.0,400.0,410.0,410.0,17752900
2025-06-03 07:00:00+07:00,412.0,510.0,410.0,510.0,510.0,115404100
2025-06-04 07:00:00+07:00,550.0,635.0,520.0,635.0,635.0,229265000
2025-06-05 07:00:00+07:00,640.0,665.0,555.0,565.0,565.0,96330000
2025-06-10 07:00:00+07:00,570.0,690.0,570.0,650.0,650.0,135482600
2025-06-11 07:00:00+07:00,660.0,720.0,615.0,665.0,665.0,96822100
2025-06-12 07:00:00+07:00,670.0,780.0,660.0,760.0,760.0,160568800
2025-06-13 07:00:00+07:00,760.0,800.0,725.0,740.0,740.0,89879300
2025-06-16 07:00:00+07:00,750.0,760.0,690.0,710.0,710.0,48525400
2025-06-17 07:00:00+07:00,715.0,755.0,715.0,725.0,725.0,37150300
2025-06-18 07:00:00+07:00,730.0,740.0,700.0,710.0,710.0,15386000
2025-06-19 07:00:00+07:00,715.0,715.0,640.0,665.0,665.0,35677600
